ID,IC50_nM
TEST_000,163.93138
TEST_001,7.0572515
TEST_002,25.660786
TEST_003,12.516788
TEST_004,18.393799
TEST_005,21.438606
TEST_006,9.986473
TEST_007,20.379662
TEST_008,78.513916
TEST_009,43.166832
TEST_010,26.551174
TEST_011,134.58003
TEST_012,3.6200447
TEST_013,67.4785
TEST_014,4.3415847
TEST_015,14.278591
TEST_016,5.0038753
TEST_017,5.773829
TEST_018,13.480288
TEST_019,54.956596
TEST_020,19.570862
TEST_021,1.4614506
TEST_022,154.71346
TEST_023,21.545982
TEST_024,67.73306
TEST_025,16.636696
TEST_026,13.3766365
TEST_027,7.696192
TEST_028,10.851169
TEST_029,1.5527394
TEST_030,17.483837
TEST_031,21.400927
TEST_032,13.488753
TEST_033,45.111477
TEST_034,1.1999617
TEST_035,18.098042
TEST_036,19.208632
TEST_037,45.524433
TEST_038,7.4821415
TEST_039,24.445263
TEST_040,22.441896
TEST_041,99.46269
TEST_042,4.9564557
TEST_043,19.570862
TEST_044,9.815401
TEST_045,33.38497
TEST_046,28.36369
TEST_047,31.902754
TEST_048,29.772747
TEST_049,16.530205
TEST_050,25.407951
TEST_051,5.849174
TEST_052,53.47629
TEST_053,-2.101412
TEST_054,23.303188
TEST_055,27.704174
TEST_056,26.968622
TEST_057,39.043022
TEST_058,3.9965744
TEST_059,-6.878533
TEST_060,32.455498
TEST_061,103.877914
TEST_062,18.52742
TEST_063,-1.2861848
TEST_064,13.901185
TEST_065,10.630387
TEST_066,7.137183
TEST_067,13.543409
TEST_068,11.648141
TEST_069,5.0033417
TEST_070,16.617228
TEST_071,164.21504
TEST_072,5.8234186
TEST_073,13.986844
TEST_074,39.199165
TEST_075,4.1987877
TEST_076,13.075777
TEST_077,1.2984452
TEST_078,15.981341
TEST_079,4.6397634
TEST_080,13.592061
TEST_081,16.15415
TEST_082,6.5029535
TEST_083,10.750953
TEST_084,4.045115
TEST_085,54.12713
TEST_086,26.134518
TEST_087,5.801092
TEST_088,26.29383
TEST_089,6.500101
TEST_090,13.173705
TEST_091,18.114296
TEST_092,18.351753
TEST_093,90.27359
TEST_094,17.26458
TEST_095,30.373102
TEST_096,13.901185
TEST_097,117.119385
TEST_098,29.75728
TEST_099,19.66121
TEST_100,5.4380507
TEST_101,16.482595
TEST_102,145.52263
TEST_103,6.4945364
TEST_104,4.344446
TEST_105,28.50077
TEST_106,24.96888
TEST_107,54.495575
TEST_108,5.0163736
TEST_109,39.517883
TEST_110,19.570862
TEST_111,15.010816
TEST_112,24.045488
