ID,IC50_nM
TEST_000,249.39055
TEST_001,12.533045
TEST_002,16.840261
TEST_003,47.28969
TEST_004,16.582764
TEST_005,20.205927
TEST_006,11.925708
TEST_007,24.085901
TEST_008,50.70532
TEST_009,15.667817
TEST_010,41.428585
TEST_011,75.09846
TEST_012,15.410346
TEST_013,25.234665
TEST_014,18.442686
TEST_015,24.723425
TEST_016,14.665666
TEST_017,42.87643
TEST_018,14.965708
TEST_019,123.569275
TEST_020,14.864276
TEST_021,72.37408
TEST_022,141.02542
TEST_023,24.901918
TEST_024,16.340464
TEST_025,27.516699
TEST_026,20.658377
TEST_027,14.425719
TEST_028,12.258447
TEST_029,10.237948
TEST_030,29.415007
TEST_031,24.562353
TEST_032,48.471344
TEST_033,16.206568
TEST_034,11.717875
TEST_035,22.304876
TEST_036,22.62224
TEST_037,37.282085
TEST_038,14.140234
TEST_039,46.7166
TEST_040,37.438633
TEST_041,92.204155
TEST_042,13.382453
TEST_043,14.864276
TEST_044,22.716728
TEST_045,21.095156
TEST_046,21.789194
TEST_047,31.094828
TEST_048,38.715748
TEST_049,16.323326
TEST_050,63.742607
TEST_051,16.078394
TEST_052,112.04835
TEST_053,29.112047
TEST_054,16.009813
TEST_055,18.966486
TEST_056,41.23232
TEST_057,19.42921
TEST_058,43.003826
TEST_059,10.500489
TEST_060,57.210293
TEST_061,74.886375
TEST_062,15.099616
TEST_063,20.441149
TEST_064,8.127786
TEST_065,33.57524
TEST_066,43.1693
TEST_067,25.950745
TEST_068,35.5615
TEST_069,13.024803
TEST_070,33.435333
TEST_071,53.615353
TEST_072,19.718433
TEST_073,24.366737
TEST_074,19.145325
TEST_075,9.643568
TEST_076,25.020195
TEST_077,15.765763
TEST_078,29.679012
TEST_079,12.309111
TEST_080,39.14153
TEST_081,25.470755
TEST_082,12.481082
TEST_083,28.74434
TEST_084,16.862415
TEST_085,27.412981
TEST_086,14.851838
TEST_087,14.938333
TEST_088,18.983011
TEST_089,17.176813
TEST_090,29.694536
TEST_091,6.761318
TEST_092,41.47392
TEST_093,52.525608
TEST_094,21.864695
TEST_095,38.188442
TEST_096,8.127786
TEST_097,88.96776
TEST_098,51.776707
TEST_099,32.09294
TEST_100,16.540318
TEST_101,37.327034
TEST_102,78.37269
TEST_103,16.711609
TEST_104,20.426836
TEST_105,44.77069
TEST_106,71.18096
TEST_107,47.54358
TEST_108,9.192214
TEST_109,43.00378
TEST_110,14.864276
TEST_111,99.2047
TEST_112,83.467
