ID,IC50_nM
TEST_000,250.36194839224825
TEST_001,16.586997270086005
TEST_002,11.832716334573224
TEST_003,13.504715805094333
TEST_004,13.058068300925095
TEST_005,11.832716334573224
TEST_006,13.894406678585069
TEST_007,13.058068300925095
TEST_008,21.59632386520339
TEST_009,88.469749478352
TEST_010,91.49583204189506
TEST_011,6.602934372818937
TEST_012,13.058068300925095
TEST_013,53.69108559094177
TEST_014,15.756650385145582
TEST_015,18.105557764146287
TEST_016,14.435098897735218
TEST_017,26.152741532744212
TEST_018,13.754094563204077
TEST_019,16.586997270086005
TEST_020,11.832716334573224
TEST_021,16.295602120303375
TEST_022,66.23446077381503
TEST_023,11.832716334573224
TEST_024,10.64697736784192
TEST_025,14.337362162289363
TEST_026,17.188706646105402
TEST_027,19.28036830442612
TEST_028,18.2664894825638
TEST_029,18.2664894825638
TEST_030,11.832716334573224
TEST_031,18.2664894825638
TEST_032,14.948602025630978
TEST_033,31.5377177457664
TEST_034,33.10527308617003
TEST_035,11.441367616491645
TEST_036,15.39211520929084
TEST_037,42.578771161713334
TEST_038,16.165112768221036
TEST_039,10.773447037398018
TEST_040,11.832716334573224
TEST_041,17.60968468188116
TEST_042,18.2664894825638
TEST_043,11.832716334573224
TEST_044,14.770811060941233
TEST_045,9.810011829739857
TEST_046,37.50999758264889
TEST_047,41.96366455380039
TEST_048,50.46355277000849
TEST_049,18.2664894825638
TEST_050,41.97819462580392
TEST_051,11.441367616491645
TEST_052,21.3802713820802
TEST_053,11.832716334573224
TEST_054,19.587052090189164
TEST_055,21.16100953901417
TEST_056,46.19461378252695
TEST_057,36.78765368809345
TEST_058,13.31459853042713
TEST_059,24.094977193209512
TEST_060,43.414046807540295
TEST_061,12.372039962003855
TEST_062,17.66235370843347
TEST_063,16.586997270086005
TEST_064,16.586997270086005
TEST_065,18.2664894825638
TEST_066,16.295602120303375
TEST_067,16.13123419779556
TEST_068,12.916016420207802
TEST_069,16.586997270086005
TEST_070,11.832716334573224
TEST_071,100.23606958719307
TEST_072,12.562273941997137
TEST_073,33.748253265938324
TEST_074,13.762279198227015
TEST_075,28.547057963640263
TEST_076,13.504715805094333
TEST_077,18.2664894825638
TEST_078,11.832716334573224
TEST_079,17.06563018232618
TEST_080,13.058068300925095
TEST_081,10.914221553687316
TEST_082,16.03840809284829
TEST_083,12.562273941997137
TEST_084,18.105557764146287
TEST_085,18.105557764146287
TEST_086,12.916016420207802
TEST_087,24.094977193209512
TEST_088,43.485962926518965
TEST_089,14.435098897735218
TEST_090,20.882058989671176
TEST_091,18.105557764146287
TEST_092,18.72363035690073
TEST_093,21.59632386520339
TEST_094,12.898382244424685
TEST_095,43.414046807540295
TEST_096,16.586997270086005
TEST_097,21.59632386520339
TEST_098,41.97819462580392
TEST_099,17.60968468188116
TEST_100,13.754094563204077
TEST_101,18.400735784690497
TEST_102,84.19089600076056
TEST_103,17.60968468188116
TEST_104,25.605803656094185
TEST_105,43.414046807540295
TEST_106,24.71217108953195
TEST_107,31.5377177457664
TEST_108,21.067687113042428
TEST_109,43.414046807540295
TEST_110,11.832716334573224
TEST_111,16.586997270086005
TEST_112,13.504715805094333
