ID,IC50_nM
TEST_000,146.29688
TEST_001,33.51314
TEST_002,10.004502
TEST_003,20.733076
TEST_004,23.309948
TEST_005,7.160766
TEST_006,21.221544
TEST_007,24.201458
TEST_008,25.262693
TEST_009,283.81345
TEST_010,146.65744
TEST_011,9.711101
TEST_012,29.862015
TEST_013,175.08347
TEST_014,31.171022
TEST_015,56.437138
TEST_016,19.217701
TEST_017,55.31187
TEST_018,14.129644
TEST_019,24.170998
TEST_020,10.004502
TEST_021,31.906424
TEST_022,87.72355
TEST_023,7.433558
TEST_024,8.90036
TEST_025,24.508303
TEST_026,4.650836
TEST_027,35.236153
TEST_028,28.467855
TEST_029,21.154057
TEST_030,7.2185655
TEST_031,22.942438
TEST_032,22.79655
TEST_033,116.47678
TEST_034,51.505432
TEST_035,9.306006
TEST_036,31.55698
TEST_037,58.928925
TEST_038,18.185293
TEST_039,14.960868
TEST_040,11.447372
TEST_041,22.70059
TEST_042,25.610733
TEST_043,10.004502
TEST_044,20.685759
TEST_045,6.270129
TEST_046,40.723953
TEST_047,82.74091
TEST_048,77.46598
TEST_049,25.191149
TEST_050,28.132896
TEST_051,8.660366
TEST_052,32.269585
TEST_053,6.077297
TEST_054,15.324159
TEST_055,22.857956
TEST_056,57.247776
TEST_057,25.318424
TEST_058,18.312263
TEST_059,12.326814
TEST_060,55.746147
TEST_061,10.848362
TEST_062,24.38178
TEST_063,33.51314
TEST_064,20.26693
TEST_065,24.763645
TEST_066,28.796463
TEST_067,30.981722
TEST_068,15.860815
TEST_069,33.51314
TEST_070,11.447372
TEST_071,31.73948
TEST_072,6.5215397
TEST_073,17.435966
TEST_074,10.094982
TEST_075,78.837494
TEST_076,23.712175
TEST_077,20.413992
TEST_078,11.025685
TEST_079,21.226717
TEST_080,17.028854
TEST_081,27.394632
TEST_082,31.27857
TEST_083,6.5215397
TEST_084,56.437138
TEST_085,46.578064
TEST_086,15.627436
TEST_087,16.342997
TEST_088,49.929707
TEST_089,18.509779
TEST_090,45.78872
TEST_091,27.55097
TEST_092,14.045208
TEST_093,24.68194
TEST_094,11.66557
TEST_095,55.746147
TEST_096,20.26693
TEST_097,27.841347
TEST_098,47.021503
TEST_099,23.59686
TEST_100,9.176579
TEST_101,21.54128
TEST_102,32.876118
TEST_103,16.355724
TEST_104,147.65775
TEST_105,55.746147
TEST_106,26.545256
TEST_107,64.508865
TEST_108,31.56457
TEST_109,55.746147
TEST_110,10.004502
TEST_111,20.448673
TEST_112,25.930433
